dataset,model,variant,seed,f1,f1_std,f1_ci_lo,f1_ci_hi,precision,recall,accuracy,auc,ece_pre,ece_post_temp,temperature_T,train_s,ms_per_sample,peak_ram_mb,peak_vram_mb,trainable_params,git_commit,n_seeds,f1_min,f1_max,precision_std,precision_min,precision_max,recall_std,recall_min,recall_max,accuracy_std,accuracy_min,accuracy_max,train_s_std,train_s_min,train_s_max,ms_per_sample_std,ms_per_sample_min,ms_per_sample_max,peak_ram_mb_std,peak_ram_mb_min,peak_ram_mb_max,peak_vram_mb_std,peak_vram_mb_min,peak_vram_mb_max,auc_std,auc_min,auc_max,ece_pre_std,ece_pre_min,ece_pre_max,ece_post_temp_std,ece_post_temp_min,ece_post_temp_max
truthseeker,svm,tfidf,113,0.7117733844568868,0.0032954902988294914,0.7053988204362329,0.7183733531829246,0.7156686639478557,0.7255934684843731,0.7146885876058386,0.8010316873929352,0.22111292785839345,,,4.376,0.227,1233.9,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
truthseeker,svm,tfidf,13,0.6701002758991458,0.003176674954627323,0.6637724784078062,0.6765654727396027,0.6701614140596805,0.6701268707033832,0.6701266651914141,0.7361039527185039,0.17133181402277517,,,4.49,0.199,1236.6,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
truthseeker,svm,tfidf,42,0.7554383669760462,0.003139832361376733,0.7493424693932561,0.7617340855290198,0.7581581967275699,0.7553828431031303,0.7564686094826114,0.8170982990588919,0.2405585676799546,,,4.703,0.268,1274.9,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
truthseeker,svm,tfidf,71,0.7451310137579915,0.0029663441325254165,0.7390900121375896,0.7509941195686161,0.7453741694527746,0.7462748891197715,0.7453731086976699,0.8133825575638761,0.24172464021252646,,,4.472,0.208,1262.4,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
truthseeker,svm,tfidf,89,0.6986634832163902,0.003191932147142665,0.6925353204672792,0.7049751724325398,0.7081500568579597,0.6977022106302729,0.7068651296259647,0.7755066670478268,0.24863063201454752,,,4.576,0.226,1247.1,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euvsdisinfo,llama31-8b,lora_big,mean,0.9740002078835125,0.005957299069122297,0.9672588893699587,0.9807415263970662,0.9737024181990556,0.9745789823252872,0.9740606666666668,,,,,5226.629666666667,2613.3146666666667,5713.7,15112.5,83886080,,3.0,0.9676395072604553,0.9794489338003687,0.006211125965163094,0.9670147090415765,0.979289929485906,0.005461397941356127,0.9688576315697118,0.9797367159571483,0.005907402481914741,0.9677625000000001,0.9794784999999999,743.1859966396929,4589.897,6043.247,371.5928772976325,2294.948,3021.623,71.85005219204821,5641.9,5785.6,0.0,15112.5,15112.5,,,,,,,,,
euvsdisinfo,llama31-8b,zs_short,mean,0.6159465292154839,0.010046777852728934,0.6045775298158715,0.6273155286150962,0.7857411752443738,0.6666207234920639,0.6507456666666668,,,,,438.63733333333334,438.63733333333334,4895.066666666667,6503.666666666667,0,,3.0,0.6071713837489127,0.6269056589752641,0.0037429021274900413,0.7817308692213205,0.7891418211928465,0.009522198448639515,0.6587880962912409,0.6772198304189946,0.0034304992833891048,0.647463,0.654307,102.32606062159013,341.851,545.724,102.32606062159013,341.851,545.724,19.278571869651998,4881.3,4917.1,1.5143755588797367,6502.6,6505.4,,,,,,,,,
euvsdisinfo,lr,tfidf,mean,0.9367182273038402,0.004250361623606919,0.9329926210762584,0.9404438335314221,0.9365215238181696,0.9370589925109687,0.937106894280547,0.9817054785523631,0.4667793090594034,,,15.0006,6.9677999999999995,1280.4600000000003,0.0,0,,5.0,0.9305864980111599,0.9420372247704403,0.004391165141274309,0.9301223563156337,0.9419096750581969,0.004140208126406878,0.9311601275358771,0.9423374503091076,0.003964899365917804,0.9316177884615384,0.9421155234657037,0.6196816117975427,13.978,15.627,0.21113313335428915,6.72,7.261,201.788287568927,1070.9,1573.6,0.0,0.0,0.0,0.002363508989250847,0.9780346353879732,0.9838974143185196,0.015880019867564942,0.45150025460610743,0.48717015566016525,,,
euvsdisinfo,mbert,finetune,mean,0.9576193487058019,0.0059147965040296634,0.9524348009798153,0.9628038964317885,0.9579502367909456,0.9574301042777874,0.9579372595052528,0.9912512867549934,0.5227764116501599,0.5056596675268561,,823.8933999999999,382.942,4376.7,2427.0,177854978,,5.0,0.9511453582461395,0.9640019851181915,0.005300944442219859,0.9515180592188657,0.9636536998541229,0.006490698767989117,0.950359500955843,0.9644749793570664,0.005730815676027149,0.951268501805054,0.964168215613383,7.469796034698661,815.797,833.538,11.358404751548509,373.708,400.739,53.93092804690105,4303.4,4432.1,0.0,2427.0,2427.0,0.0016370997252172141,0.9896817344156476,0.9934745710084192,0.01936110188881852,0.5015641226880176,0.5499575417367781,0.018082034383670977,0.48814865018302905,0.5320573953402084
euvsdisinfo,qwen25-14b,zs_short,mean,0.8345486998926401,0.015741741285984663,0.8167352426974458,0.8523621570878345,0.8397003607108192,0.833498088498058,0.8363073333333334,,,,,613.2006666666666,613.2006666666666,5489.433333333333,10702.800000000001,0,,3.0,0.8241575801961931,0.8526601759803512,0.014431879642491633,0.8290495491290262,0.8561252849373157,0.016110600567385735,0.8234585436240544,0.8520809396668227,0.01507254117039773,0.8256720000000001,0.8535560000000001,56.81492981895983,547.993,652.042,56.81492981895983,547.993,652.042,425.2091759749936,5164.6,5970.7,1.5099668870541019,10701.2,10704.2,,,,,,,,,
